year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.024,168,4,Europe and Central Asia,C005,7.5,12,19.22230695,58968910.29,23.02622373,380.073869,98.14019138,10.1,729.3,0.0161,0.226,2.807,154.1,73,53.63758214,26.3,98.39639574,5.884055491
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.603,58,35,Europe and Central Asia,C007,6.8,12,7.516807941,8867000,49.20127076,67.2981577,72.975,25.7,653.6,0.0482,0.022,1.678,87,41,53.63758214,19.7,95,6.61
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.596,89,53,Europe and Central Asia,C007,7.1,12.1,7.123620363,9192000,43.43709078,66.92257738,73.313,23.5,599,0.0527,0.0337,1.476,93.3,41,53.63758214,20.5,95.14285714,6.82
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.591,110,65,Europe and Central Asia,C007,7.4,12.1,7.659756191,9409000,41.76138961,66.54327561,73.651,24.2,934.9,0.112,0.0633,1.196,112.9,43,53.63758214,21.5,90.42857143,7.13
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.738,130,96,Europe and Central Asia,C007,7,12,7.366465303,9317000,44.10270127,66.120035,73.99,21.5,742.8,0.0657,0.108,1.438,96,41,53.63758214,22.3,90.85714286,7.24
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.748,103,77,Europe and Central Asia,C007,6.9,12.1,7.429517228,10604000,44.86666037,65.65790346,74.329,21.1,683.6,0.0578,0.0592,1.899,90.7,41,53.63758214,22.9,91.85714286,7.27
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.804,92,74,Europe and Central Asia,C007,6.7,11.9,7.464336953,11596000,45.06690917,65.18005711,74.669,21.5,750.8,0.0604,0.022,0.954,97.5,43,53.63758214,23.4,92.85714286,7.45
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.745,110,82,Europe and Central Asia,C007,7.5,12.4,7.3026296,12368000,42.36347276,64.71109985,75.008,22,707.1,0.0647,0.0488,2.192,97.6,42,53.63758214,24,91,7.45
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.72,132,95,Europe and Central Asia,C007,7.8,12.9,6.875876294,12552000,40.84399446,64.25719418,75.347,21.6,547.6,0.047,0.0194,2.112,95.4,43,53.63758214,24.6,93.85714286,7.45
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.829,129,107,Europe and Central Asia,C007,7.5,12.7,8.253349439,4973000,38.13040476,63.87265107,75.686,20.2,615.6,0.0534,0.0164,2.037,85.6,44,53.63758214,25.2,90.42857143,7.45
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.779,217,169,Europe and Central Asia,C007,7.1,12.1,13.62766075,17911413.63,31.36014901,63.61478901,76.02488275,20,798,0.0696,0.0327,1.629,102.2,42,53.63758214,25.8,92.67043868,7.429834127
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.794,160,127,Europe and Central Asia,C007,7.2,12.4,25.06808262,63276240.9,18.15515769,63.53791896,76.36364826,22.5,520,0.0379,0.0269,1.831,82.7,43,53.63758214,26.4,92.63705768,7.389502381
