year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.758,95,72,Europe and Central Asia,C047,8.5,13.9,9.043090372,103231000,28.99343154,93.2009456,79.133,10.4,649.6,0.0605,0.0739,0.655,132.1,59,53.63758214,25.6,94.12945208,2.96
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.654,78,51,Europe and Central Asia,C047,9.2,14.8,9.078899707,107144000,29.73562422,92.92273645,79.366,10.3,512,0.0557,0.0664,0.838,109.6,60,53.63758214,27.8,94.98659494,2.97
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.537,95,51,Europe and Central Asia,C047,8.9,14.7,9.121246399,109834000,28.68404396,92.95268592,79.602,11.9,654.1,0.0325,0.0464,1.3,128.4,58,53.63758214,29.1,95.41516637,2.98
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.623,106,66,Europe and Central Asia,C047,9.1,14.6,8.955824866,115561000,28.44684327,93.04926296,79.84,10.4,490.6,0.0511,0.0617,1.562,109.5,58,53.63758214,28.1,95.70088066,2.97
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.663,92,61,Europe and Central Asia,C047,9,14.8,8.957493115,121717000,29.49172613,93.27091015,80.08,11.2,797.9,0.0286,0.0201,1.103,144.3,57,53.63758214,27.4,94.27230923,2.97
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.543,81,44,Europe and Central Asia,C047,8.9,14.4,9.023779125,124456000,29.77552444,93.66979208,80.321,10.6,594.9,0.0601,0.0556,1.016,117.2,58,53.63758214,26.9,95.12945208,2.97
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.566,83,47,Europe and Central Asia,C047,8.8,14.6,8.877025504,126170000,29.38731451,94.3508089,80.565,10.6,632.9,0.0509,0.0475,1.811,129.3,62,53.63758214,26.9,94.70088066,2.97
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.609,92,56,Europe and Central Asia,C047,9.3,14.9,10.65533975,36410000,26.73799188,94.81538375,80.81,10.2,637.4,0.0448,0.0443,0.89,126.9,62,53.63758214,26.9,94.27230923,2.97
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.57,93,53,Europe and Central Asia,C047,9,14.5,16.63369906,240622124.4,20.10450692,94.5294678,81.05372205,10.3,551.9,0.0457,0.0539,0.809,116,61,53.63758214,26.9,95.87140057,2.96964041
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.359,92,33,Europe and Central Asia,C047,9.7,15.4,28.95021092,795375373.1,7.897755182,92.99448418,81.29416616,12.1,1739.2,0.0425,0.0246,1.094,99.2,60,53.63758214,26.9,96.0157018,2.968921229
2013,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,35,0,Europe and Central Asia,C015,-1.1,3.3,9.805528071,2797000,20.53725714,17.89783145,85.125,6.2,542.1,0.0108,0.26,1.229,176.3,89,53.63758214,19.7,92.94786561,4.87
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.031,32,1,Europe and Central Asia,C015,-0.6,3.5,9.781280949,2731000,20.44188252,17.97200303,85.175,7.3,552.2,0.00832,0.237,1.187,170.2,89,53.63758214,20.4,92.80500846,4.53
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.023,43,1,Europe and Central Asia,C015,-0.2,3.7,9.645361948,2622000,21.43538431,18.03011089,85.225,5.7,636,0.0138,0.348,1.442,206.7,90,53.63758214,19.8,92.23357989,4.35
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.027,37,1,Europe and Central Asia,C015,-1.3,2.5,9.126824785,3180000,21.98470459,18.12389445,85.325,4.7,619.9,0.0109,0.294,1.496,194.9,85,53.63758214,17.6,89.85031784,3.28
2019,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,43,0,Europe and Central Asia,C015,-1.3,2.8,8.908005955,3290000,19.80098518,18.16736091,85.446,5,644.3,0.0117,0.268,1.32,200.3,86,53.63758214,19.00062129,91.13603212,3.61
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.054,37,2,Europe and Central Asia,C015,0.3,4.3,9.362166944,896000,18.65169156,18.19287688,85.517,4.9,645,0.0132,0.333,1.343,195.5,85,53.63758214,19.36066149,90.56460355,3.61
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.021,47,1,Europe and Central Asia,C015,-1.7,2.4,11.10973588,6616489.093,19.72591887,18.23479531,85.59505372,5.2,626,0.0122,0.337,1.516,181.1,88,53.63758214,19.54568149,90.83337093,4.081280277
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.033,389,13,Europe and Central Asia,C016,7.3,11.6,11.3640761,197522000,29.70904632,119.9185473,78.878,14.1,880,0.0755,0.142,1.54,165.5,71,53.63758214,27.3,89.55802351,6.34
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.059,406,24,Europe and Central Asia,C016,7.1,11.2,11.4745468,204410000,29.6975381,120.5395767,79.135,14.5,941.6,0.0941,0.242,1.424,179.2,71,53.63758214,27.2,90.41516637,6.28
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.025,401,10,Europe and Central Asia,C016,8.3,12.6,11.55961489,206599000,29.66719385,121.1053224,79.394,11.5,944.2,0.0849,0.24,2.591,176.6,69,53.63758214,28.4,90.55802351,6.2
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.056,428,24,Europe and Central Asia,C016,7.9,12.2,11.45628603,203302000,27.73507328,121.5367021,79.655,12.2,723.1,0.0617,0.163,2.613,149.1,70,53.63758214,28.9,91.12945208,6.13
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.071,450,32,Europe and Central Asia,C016,7.6,11.8,11.50008073,203042000,24.98901037,121.857823,79.917,11.2,819.6,0.0802,0.185,2.151,161.7,69,53.63758214,29.2,90.98659494,6.06
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.062,469,29,Europe and Central Asia,C016,7.6,12,11.37595256,207274000,24.28123296,122.2119706,80.18,10.8,739.3,0.0685,0.158,1.487,152.3,70,53.63758214,27.5,90.98659494,5.98
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.065,490,32,Europe and Central Asia,C016,8.3,12.7,11.23465814,211998000,24.21782071,122.6508802,80.444,10.7,875.8,0.0989,0.266,2.157,165.2,72,53.63758214,27.1,91.55802351,5.91
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.09,487,44,Europe and Central Asia,C016,8,12.4,10.79584072,217877000,24.83544638,123.0702941,80.709,9.6,853.9,0.0742,0.13,1.452,165.9,69,53.63758214,27.30774406,92.27230923,5.91
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.033,692,23,Europe and Central Asia,C016,8.4,12.8,11.92559868,117109000,23.28100842,123.4046994,80.975,8.9,825.6,0.0821,0.244,3.317,159.2,69,53.63758214,27.48480178,92.27230923,5.91
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.031,720,22,Europe and Central Asia,C016,7.4,11.7,16.62087464,204333703.3,16.4978771,123.5926676,81.24199879,10.1,837.5,0.104,0.279,1.938,158.8,71,53.63758214,27.6357059,94.3814822,5.832143223
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.035,857,30,Europe and Central Asia,C016,8.6,13.2,26.74776698,854253109.9,1.632950876,123.5686858,81.50999637,10.6,656.3,0.0838,0.246,2.062,134,72,53.63758214,27.76431963,95.07379475,5.606429668
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.025,80,2,Europe and Central Asia,C054,5.7,8.9,10.01163495,32221000,19.36975501,263.3001901,81.837,11.3,1399,0.0404,0.395,0.576,206.8,74,53.63758214,19.6,91.42174641,2.81
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.02,149,3,Europe and Central Asia,C054,5.7,8.9,9.936050081,33567000,19.58434683,265.0695366,82.102,12.6,1317.8,0.0248,0.357,0.364,200.3,76,53.63758214,19.3,91.70746069,2.76
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.017,120,2,Europe and Central Asia,C054,6.7,9.9,9.935806686,35337000,19.54077915,267.0288844,82.365,12.3,1196.4,0.0322,0.449,1.718,187.8,78,53.63758214,21.1,91.85031784,2.73
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.008,132,1,Europe and Central Asia,C054,5.9,9.2,9.866622006,36792000,19.6044745,269.1531393,82.626,10.6,1208,0.034,0.375,0.614,197,81,53.63758214,20.5,91.85031784,2.61
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.015,584,9,Europe and Central Asia,C054,6.1,9.4,9.813342308,39129000,19.12020704,271.2007316,82.886,10.8,1144.8,0.025,0.379,1.161,178.4,81,53.63758214,20,91.27888926,2.57
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.028,782,22,Europe and Central Asia,C054,6.4,9.6,9.675228559,41080000,19.62010241,273.049473,83.143,10.5,1296,0.0254,0.304,1.424,203.8,82,53.63758214,19.1,91.13603212,2.54
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.018,714,13,Europe and Central Asia,C054,6.1,9.5,9.761558021,40283000,19.89193258,274.7089819,83.398,10.7,1359.3,0.0269,0.326,0.998,198,80,53.63758214,18,91.13603212,2.5
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.021,718,15,Europe and Central Asia,C054,6.2,9.6,9.853163498,40857000,19.75936134,276.2630802,83.652,10.4,1171.3,0.0354,0.345,1.231,175.1,77,53.63758214,18,91.41516637,2.46
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.02,568,11,Europe and Central Asia,C054,6.4,9.7,12.15864268,11101000,16.29167402,277.2753854,83.903,9.6,1176.4,0.0371,0.441,1.373,180.8,77,53.63758214,18,91.41516637,2.46
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.878,1254,1101,Europe and Central Asia,C018,11.7,16.2,8.890834009,17284000,36.25056175,85.68666408,77.004,17.9,731.6,0.104,0.0415,0.614,91.8,36,53.63758214,33.5,94.55802351,4.45
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.906,848,768,Europe and Central Asia,C018,11.8,16.2,8.408514515,20112000,37.78532993,85.06757952,77.355,15.2,656.4,0.113,0.0908,0.841,90,40,53.63758214,34.9,94.55802351,4.24
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.932,841,784,Europe and Central Asia,C018,12,16.2,7.866571646,24272000,41.8206349,84.50281614,77.702,16.1,842.6,0.117,0.0575,0.887,107.8,43,53.63758214,41.9,94.70088066,4.24
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.935,983,919,Europe and Central Asia,C018,11.4,15.8,8.191931841,26114000,40.72160096,83.94788984,78.046,15.6,705.8,0.125,0.09,1.132,89.1,46,53.63758214,44.2,94.70088066,4.25
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.954,861,821,Europe and Central Asia,C018,11.9,16.4,8.442653148,28071000,48.34596476,83.5994647,78.387,15.4,627.2,0.104,0.0584,1.217,84.4,44,53.63758214,42.2,94.70088066,4.2
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.948,1095,1038,Europe and Central Asia,C018,11.4,16,8.124949308,30161000,47.65895553,83.43428239,78.724,15.5,663,0.0839,0.0311,1.292,87.7,48,53.63758214,42.6,94.70088066,4.21
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.924,1013,936,Europe and Central Asia,C018,12.5,16.7,8.113981064,33072000,47.70194219,83.26518231,79.058,15.6,698.2,0.119,0.0714,1.081,94.6,45,53.63758214,45.9,94.70088066,4.2
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.923,196,181,Europe and Central Asia,C018,12.2,16.6,7.989848122,34005000,51.10736456,83.17751746,79.388,15.7,822.1,0.104,0.0428,1.32,99.6,48,53.63758214,45.9,94.70088066,4.2
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.946,740,700,Europe and Central Asia,C018,12,16.5,9.33594401,7406000,45.87668176,82.99921645,79.715,14.7,629.9,0.0803,0.0253,1.284,80.6,50,53.63758214,45.9,94.70088066,4.2
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.969,1377,1334,Europe and Central Asia,C018,12.3,16.6,13.87323339,73507388.11,19.42692398,82.53915915,80.0401525,16,676.4,0.147,0.0688,1.494,88.6,49,53.63758214,45.9,96.10116757,4.185138595
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.959,1531,1468,Europe and Central Asia,C018,11.8,16.3,23.1851098,234289164.3,40.24044967,81.62527416,80.36445751,16.7,531.1,0.0792,0.0513,0.996,76.1,52,53.63758214,45.9,96.43206573,4.145415784
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.895,114,102,Europe and Central Asia,C009,7.9,12.4,6.415706536,48345000,14.94449386,76.04333143,55.706,19.3,1315.7,0.127,0.275,0.685,162.1,48,53.63758214,22.4,96.28571429,5.86
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.873,166,145,Europe and Central Asia,C009,8.6,13.1,6.597061324,51168000,15.95567368,75.73420413,55.923,18,1484.2,0.155,0.326,0.704,176.2,48,53.63758214,22.5,95.57142857,5.91
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.89,200,178,Europe and Central Asia,C009,8.3,13,6.655693661,55858000,16.88346831,75.11264384,56.155,20.2,1114.9,0.079,0.201,0.718,141.2,51,53.63758214,22.5,94.71428571,5.56
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.945,181,171,Europe and Central Asia,C009,8.1,12.7,6.699235238,57587000,17.14746297,74.58989708,56.403,19.3,1226.6,0.108,0.234,1.01,160.9,49,53.63758214,22.3,93.71428571,5.49
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.962,208,200,Europe and Central Asia,C009,7.8,12.6,6.609822047,59238000,17.14684515,73.69971768,56.667,18.6,1064.5,0.0965,0.126,1.351,140,49,53.63758214,22.5,92.85714286,5.54
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.955,155,148,Europe and Central Asia,C009,8.7,13.4,6.721258625,57668000,17.54514057,73.04415338,56.947,19.4,1101,0.101,0.244,1.108,155.7,48,53.63758214,22.7,94.28571429,5.54
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.923,143,132,Europe and Central Asia,C009,8.8,13.5,6.568211849,60021000,18.4482875,72.64050104,57.242,16.1,1302.1,0.121,0.114,1.304,160.6,47,53.63758214,22.9,94.42857143,5.54
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.964,225,217,Europe and Central Asia,C009,8.3,13,7.5074392,21608000,18.11797058,72.33166548,57.553,15.3,1127,0.0959,0.111,1.728,148.7,47,53.63758214,23.1,93.14285714,5.54
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.995,407,405,Europe and Central Asia,C009,7.8,12.5,11.01399717,105385910.2,14.72150123,71.96503689,57.8811308,15.6,1069.4,0.0991,0.155,1.898,137.9,47,53.63758214,23.3,95.29879585,5.53510163
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.986,291,287,Europe and Central Asia,C009,8.7,13.5,18.44464325,365649730.7,6.520564087,71.38352008,58.22739239,16.6,869.3,0.0828,0.0951,1.383,141.5,50,53.63758214,23.5,95.3434535,5.525304889
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.481,418,201,Europe and Central Asia,C019,6.5,11.6,7.402005678,43565000,35.15967264,109.5809345,69.678,20.2,524.9,0.00633,0.0101,1.235,124.2,55,53.63758214,14.9,97.14943718,7
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.501,481,241,Europe and Central Asia,C019,6.7,11.5,7.222938697,43611000,33.79019411,109.2795979,69.953,19.2,619.4,0.0156,0.057,1.317,139.6,54,53.63758214,15.3,97.14943718,7.04
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.445,443,197,Europe and Central Asia,C019,7.5,12.4,7.03888541,45984000,33.27833621,108.1138286,70.227,18.2,727.8,0.0227,0.0469,1.06,139,54,53.63758214,16.3,97.14943718,6.98
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.552,467,258,Europe and Central Asia,C019,7.1,12.1,6.845299326,48345000,32.21471894,107.8569801,70.5,19,574.3,0.00911,0.0487,0.904,124.5,51,53.63758214,17.4,97.14943718,6.99
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.586,401,235,Europe and Central Asia,C019,6.7,11.6,6.976072383,52890000,32.28891876,107.5391519,70.779,17.1,744.2,0.0158,0.0507,1.561,143.6,48,53.63758214,15.9,97.14943718,7
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.525,358,188,Europe and Central Asia,C019,6.5,11.6,6.732726237,54962000,31.5602077,107.253627,71.062,18.9,623.6,0.011,0.0269,0.642,134.8,45,53.63758214,16.2,97.14943718,7.02
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.552,357,197,Europe and Central Asia,C019,7.3,12.4,6.574282676,57667000,30.79599878,107.1177296,71.351,18.3,593.8,0.0106,0.0476,1.905,137.1,46,53.63758214,16.4,97.14943718,7.01
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.51,418,213,Europe and Central Asia,C019,7.4,12.6,6.090805276,61397000,31.69131191,107.0692636,71.644,14.7,618.9,0.00982,0.00891,1.381,136.8,44,53.63758214,16.4,97.14943718,7.01
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.73,534,390,Europe and Central Asia,C019,7.1,12,7.04628404,31641000,28.89746979,106.8392395,71.942,13.6,646,0.0125,0.0142,1.307,135.4,44,53.63758214,16.4,97.14943718,7.01
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.83,1445,1199,Europe and Central Asia,C019,6.3,11.3,11.34693161,68006134.87,16.66933062,106.1475583,72.24625983,14.4,558.3,0.00742,0.0239,1.655,134.9,43,53.63758214,16.4,97.15896099,6.995536034
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.579,549,318,Europe and Central Asia,C019,7.3,12.3,20.75673799,272055404.6,10.34178291,104.7252304,72.5577795,14,505.2,0.00986,0.00802,1.04,121.8,42,53.63758214,16.4,97.16044522,6.956608101
2008,CRAB,Acinetobacter baumannii,Carbapenems,0.81,32,26,South Asia,C021,18.2,24.1,3.585137437,5283000,75.50202211,405.8720788,30.246,51.9,1170,0.268,0.302,0.753,56.4,34,59.33857962,9,70.93371294,0.41
2009,CRAB,Acinetobacter baumannii,Carbapenems,0.87,53,46,South Asia,C021,18.9,24.8,3.547271024,5168000,73.37130063,411.5580101,30.587,51.1,1014.3,0.237,0.226,0.907,51.2,34,59.33857962,9.6,74.36228436,0.44
2010,CRAB,Acinetobacter baumannii,Carbapenems,0.81,77,62,South Asia,C021,18.8,24.7,3.335892588,5776000,72.8231755,417.2668481,30.93,50.6,1273.4,0.309,0.323,1.147,60.3,33,59.33857962,10.2,76.36228436,0.47
2011,CRAB,Acinetobacter baumannii,Carbapenems,0.85,127,108,South Asia,C021,18.3,24.2,3.246342764,6309000,70.25712556,422.9871589,31.276,53.9,1151.6,0.273,0.347,0.959,59.4,31,59.43491763,10.9,70.40759374,0.63
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.92,146,134,South Asia,C021,18.2,24.1,3.329352008,6578000,71.06796396,428.659862,31.634,52,1060,0.269,0.287,0.667,55,36,59.53460088,11.1,75.69330802,0.49
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.87,129,112,South Asia,C021,18.1,24,3.74944131,6968000,76.65864793,434.2581749,32.003,51.4,1253.8,0.275,0.355,0.687,61.4,36,59.63734533,11.8,68.57142857,0.49
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.84,83,70,South Asia,C021,18.2,24.1,3.619565875,13107000,75.58837071,439.6780929,32.384,50.9,1073.8,0.235,0.238,1.66,54.1,38,59.7434301,12.7,71.71428571,0.52
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.73,1300,949,South Asia,C021,18.4,24.2,3.5956592,13284000,73.64810446,444.931708,32.777,50.6,1124.8,0.248,0.229,0.419,56.4,38,61.83639136,13.3,78.28571429,0.58
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.83,94,78,South Asia,C021,18.7,24.6,3.504304176,14570000,72.51978927,450.2357199,33.182,53.6,1113.5,0.261,0.296,1.411,55.5,40,63.9222864,13.7,85,0.48
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.77,503,387,South Asia,C021,18.6,24.5,2.935976047,15543000,66.46324199,455.468934,33.6,54.5,1161,0.264,0.269,1.694,58.8,40,66.00089544,14,88.28571429,0.53
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.69,590,407,South Asia,C021,18.5,24.3,2.862458263,17423000,65.24590595,460.4493174,34.03,55.9,1025.5,0.238,0.251,0.82,55.6,41,68.07148665,14.2,89.57142857,0.53
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.71,1488,1056,South Asia,C021,18.4,24.3,2.910162265,17914000,65.64927174,465.1946394,34.472,52.9,1326.4,0.286,0.334,1.339,60.4,41,70.13359887,14.53190008,90.57142857,0.53
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.78,1546,1206,South Asia,C021,18.3,24.1,2.926438139,17914000,62.36386405,469.6595667,34.926,51.5,1254.1,0.279,0.336,0.786,62.2,40,72.18676937,14.96290507,85,0.53
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.024,85,2,Europe and Central Asia,C022,6.3,9.6,10.33744963,8260000,29.40829552,67.11882712,62.141,9.1,1135.2,0.0271,0.407,1.263,218.9,72,53.63758214,24,90.66897634,2.56
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.013,79,1,Europe and Central Asia,C022,6.9,10.2,9.578874434,8813000,28.99466813,67.61126433,62.34,8.4,1361.7,0.0348,0.539,1.175,238.3,74,53.63758214,25.2,90.5261192,2.57
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.06,84,5,Europe and Central Asia,C022,6.1,9.6,7.3506751,9528000,27.99103231,68.25311366,62.538,7.8,1377.2,0.043,0.494,1.94,236.3,75,53.63758214,26.6,90.5261192,2.92
2016,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,65,0,Europe and Central Asia,C022,6.5,9.9,7.487237421,10100000,27.27870871,69.0279431,62.737,7.9,1134.6,0.0241,0.496,1.672,217.9,73,53.63758214,26.2,81.95469063,2.96
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.063,63,4,Europe and Central Asia,C022,6.8,10.1,7.160484674,10338000,27.02087662,69.78353898,62.947,7.2,1183.9,0.0288,0.386,1.572,236.5,74,53.63758214,25.2,79.38326206,2.97
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.017,60,1,Europe and Central Asia,C022,6.4,9.8,6.920121579,10926000,25.87392573,70.65344753,63.17,7.8,1222.6,0.0275,0.431,2.406,220.8,73,53.63758214,25.2,78.81183349,2.97
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.016,63,1,Europe and Central Asia,C022,6.6,10,6.539471101,10951000,25.37178569,71.62636087,63.405,8.6,1302.2,0.0359,0.498,1.626,242,74,53.63758214,25.61111111,78.5261192,2.97
2020,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,52,0,Europe and Central Asia,C022,6.6,9.9,7.086828808,10951000,21.17391467,72.36728117,63.653,7.9,1366.2,0.044,0.575,1.857,244.1,72,53.63758214,26.02222222,78.81183349,2.97
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.015,66,1,Europe and Central Asia,C022,6.7,10.1,9.738068356,11573481.14,8.557569479,72.52638606,63.91511861,8.1,1160.4,0.0304,0.474,2.644,215.9,74,53.63758214,26.43333333,82.30503491,2.967189437
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.026,78,2,Europe and Central Asia,C022,7,10.5,15.56148531,13356443.43,16.81779171,71.76867772,64.19235582,8.1,1157.4,0.0347,0.43,2.147,211.7,77,53.63758214,26.84444444,82.28155934,2.961568312
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.831,231,192,Europe and Central Asia,C023,10.8,14.9,8.805047061,76293000,24.1231882,201.3395093,68.684,18.9,693,0.146,0.145,0.705,117.8,42,53.63758214,23.8,92.65557129,3.42
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.795,468,372,Europe and Central Asia,C023,10.7,14.6,8.856115944,76762000,24.24148213,203.6871208,68.979,17.4,790.3,0.174,0.261,0.568,131,43,53.63758214,24.6,92.41516637,3.31
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.899,477,429,Europe and Central Asia,C023,11.3,15.2,8.868862715,77694000,24.57506739,205.5645581,69.272,15.7,852.6,0.221,0.364,1.357,137.4,43,53.63758214,24.9,91.27230923,3.21
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.783,664,520,Europe and Central Asia,C023,11.1,15.1,8.847417835,81068000,25.56458158,205.3665384,69.565,18.4,682.8,0.12,0.174,0.449,115.7,44,53.63758214,24.8,89.98659494,3.2
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.785,702,551,Europe and Central Asia,C023,11.1,15,8.719857291,84925000,25.59896731,205.0179495,69.855,16.2,712.2,0.143,0.153,1.04,123.1,47,53.63758214,24.2,90.27230923,3.17
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.787,868,683,Europe and Central Asia,C023,10.8,14.8,8.670186961,89931000,26.26462371,204.7109374,70.144,17.3,618.3,0.1,0.105,1.264,107.9,50,53.63758214,24,92.27230923,3.18
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.792,1383,1095,Europe and Central Asia,C023,11.5,15.4,8.6729469,93228601.56,26.13889069,204.3222259,70.438,15.7,699.7,0.17,0.198,0.783,127.2,52,53.63758214,24.1,92.98659494,3.14
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.793,1588,1259,Europe and Central Asia,C023,11.3,15.3,8.375004891,95399000,26.25528058,201.9805456,70.736,15,824.1,0.168,0.176,1.201,126.1,53,53.63758214,24.54736842,93.41516637,3.14
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.808,2552,2062,Europe and Central Asia,C023,11.1,15.2,9.345350147,38419000,23.92312126,200.9991005,71.039,15.4,703.1,0.127,0.145,1.075,112.9,53,53.63758214,24.54736842,91.98659494,3.14
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.869,2734,2376,Europe and Central Asia,C023,11,15,13.26562905,139123731.1,16.18737155,205.0126794,71.3482257,14.9,686.6,0.13,0.18,1.019,120.8,56,53.63758214,24.54736842,93.6867625,3.089054735
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.885,2742,2427,Europe and Central Asia,C023,11.5,15.7,21.70483081,495252388.5,0.357359318,217.3344863,71.66467709,16.3,552.8,0.0953,0.0856,1.764,104.2,56,53.63758214,24.54736842,93.91375556,2.947164206
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.69,169,117,East Asia and Pacific,C046,5.2,10.1,6.90190495,17242000,42.47815186,525.3700725,81.562,22.3,1063.3,0.131,0.0444,1.237,141.4,53,53.63758214,24.86666667,97.71428571,11.98
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.8,235,188,East Asia and Pacific,C046,5,10.1,7.086291484,13336000,42.08642872,526.7348067,81.503,20.8,866.8,0.0832,0.0317,1.5,132,54,53.63758214,25.23333333,97.28571429,12.27
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.79,247,195,East Asia and Pacific,C046,5.9,10.8,7.530476334,15347000,41.54320636,528.9690115,81.459,22.8,858.5,0.122,0.049,0.675,138.1,57,53.63758214,25.73333333,97.85714286,12.43
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.77,225,173,East Asia and Pacific,C046,5.9,10.9,8.057690154,17503000,40.47150345,530.3772746,81.43,19.8,960.6,0.0812,0.0253,1.624,141.4,59,53.63758214,26.28560181,97.71428571,12.43
