year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD,logit_R,log_AMC,log_IT,log_PMP,log_PD
2012,CRKP,Klebsiella pneumoniae,Carbapenems,0.008,1152,9,Europe and Central Asia,C047,8.5,14.1,9.14532402,98128000,27.89189567,93.50683713,78.902,11.7,701.3,0.0353,0.0216,0.508,136.3,65,53.63758214,24.3,94.41516637,2.99,-4.703506087,3.230804396,18.40178332,2.541601993,4.548672182
2013,CRKP,Klebsiella pneumoniae,Carbapenems,0.016,1241,20,Europe and Central Asia,C047,8.5,13.9,9.043090372,103231000,28.99343154,93.2009456,79.133,10.4,649.6,0.0605,0.0739,0.655,132.1,59,53.63758214,25.6,94.12945208,2.96,-4.059428297,3.280911216,18.45247976,2.433613355,4.54543022
2014,CRKP,Klebsiella pneumoniae,Carbapenems,0.023,1266,29,Europe and Central Asia,C047,9.2,14.8,9.078899707,107144000,29.73562422,92.92273645,79.366,10.3,512,0.0557,0.0664,0.838,109.6,60,53.63758214,27.8,94.98659494,2.97,-3.70745584,3.360375387,18.48968429,2.424802726,4.542472492
2015,CRKP,Klebsiella pneumoniae,Carbapenems,0.022,1483,33,Europe and Central Asia,C047,8.9,14.7,9.121246399,109834000,28.68404396,92.95268592,79.602,11.9,654.1,0.0325,0.0464,1.3,128.4,58,53.63758214,29.1,95.41516637,2.98,-3.751037427,3.404525172,18.5144807,2.557227311,4.542791314
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.021,1677,35,Europe and Central Asia,C047,9.1,14.6,8.955824866,115561000,28.44684327,93.04926296,79.84,10.4,490.6,0.0511,0.0617,1.562,109.5,58,53.63758214,28.1,95.70088066,2.97,-3.796510118,3.370738174,18.5653091,2.433613355,4.543818719
2017,CRKP,Klebsiella pneumoniae,Carbapenems,0.028,1510,42,Europe and Central Asia,C047,9,14.8,8.957493115,121717000,29.49172613,93.27091015,80.08,11.2,797.9,0.0286,0.0201,1.103,144.3,57,53.63758214,27.4,94.27230923,2.97,-3.513088252,3.346389145,18.61720924,2.501435952,4.54617266
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.038,1995,76,Europe and Central Asia,C047,8.9,14.4,9.023779125,124456000,29.77552444,93.66979208,80.321,10.6,594.9,0.0601,0.0556,1.016,117.2,58,53.63758214,26.9,95.12945208,2.97,-3.206491766,3.328626689,18.63946281,2.451005098,4.550394964
2019,CRKP,Klebsiella pneumoniae,Carbapenems,0.048,2398,115,Europe and Central Asia,C047,8.8,14.6,8.877025504,126170000,29.38731451,94.3508089,80.565,10.6,632.9,0.0509,0.0475,1.811,129.3,62,53.63758214,26.9,94.70088066,2.97,-2.967794606,3.328626689,18.65314077,2.451005098,4.557562815
2020,CRKP,Klebsiella pneumoniae,Carbapenems,0.047,2228,105,Europe and Central Asia,C047,9.3,14.9,10.65533975,36410000,26.73799188,94.81538375,80.81,10.2,637.4,0.0448,0.0443,0.89,126.9,62,53.63758214,26.9,94.27230923,2.97,-2.989462661,3.328626689,17.41035405,2.415913778,4.562423254
2021,CRKP,Klebsiella pneumoniae,Carbapenems,0.057,1847,105,Europe and Central Asia,C047,9,14.5,16.63369906,240622124.4,20.10450692,94.5294678,81.05372205,10.3,551.9,0.0457,0.0539,0.809,116,61,53.63758214,26.9,95.87140057,2.96964041,-2.789683156,3.328626689,19.29873832,2.424802726,4.559434763
2022,CRKP,Klebsiella pneumoniae,Carbapenems,0.052,2952,154,Europe and Central Asia,C047,9.7,15.4,28.95021092,795375373.1,7.897755182,92.99448418,81.29416616,12.1,1739.2,0.0425,0.0246,1.094,99.2,60,53.63758214,26.9,96.0157018,2.968921229,-2.885116885,3.328626689,20.49432473,2.57261223,4.543236102
2007,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,48,0,Europe and Central Asia,C014,3.1,6.7,4.973579284,3378000,24.41262812,31.62727058,68.479,10.6,683.5,0.00926,0.101,0.602,178.3,65,53.63758214,11.6,95.71428571,5.48,-6.908754779,2.533696814,15.03279467,2.451005098,3.48514846
2008,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,62,0,Europe and Central Asia,C014,4.1,7.3,5.711505997,3828000,23.36596207,31.5425808,68.351,9.9,760.7,0.0135,0.156,0.937,190.7,66,53.63758214,11.3,95.57142857,5.63,-6.908754779,2.509599262,15.15785329,2.388762789,3.48254941
2009,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,50,0,Europe and Central Asia,C014,2.7,6.1,6.542951618,3834000,22.46353322,31.48183534,68.223,9.6,689.9,0.00994,0.179,0.921,169.9,66,53.63758214,10.4,95.42857143,5.37,-6.908754779,2.433613355,15.15941946,2.360854001,3.48068102
2010,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,66,0,Europe and Central Asia,C014,1.3,5,6.314848849,4369000,23.99957149,31.41012031,68.094,10.6,723.6,0.013,0.183,2.325,178.3,65,53.63758214,10.6,94.71428571,5.27,-6.908754779,2.451005098,15.29004494,2.451005098,3.478470729
2011,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,73,0,Europe and Central Asia,C014,3.3,6.9,5.809582138,4907000,23.58578053,31.31490918,67.965,8.7,661.8,0.00982,0.135,0.629,168.2,64,53.63758214,11.1,94.42857143,5.36,-6.908754779,2.493205453,15.40617352,2.272125886,3.475528708
2012,CRKP,Klebsiella pneumoniae,Carbapenems,0.013,79,1,Europe and Central Asia,C014,2.2,5.7,5.822571254,5007000,23.47876115,31.20301958,67.974,8.8,830.8,0.0143,0.192,0.939,194.7,64,53.63758214,11.4,94.42857143,5.53,-4.256625368,2.517696473,15.42634769,2.282382386,3.472060224
2013,CRKP,Klebsiella pneumoniae,Carbapenems,0.027,74,2,Europe and Central Asia,C014,3.1,6.8,6.006751657,5737000,24.49463773,30.31969174,68.122,8.6,580.2,0.00855,0.14,1.049,160.2,68,53.63758214,10.9,93.85714286,5.01,-3.549206793,2.4765384,15.56244716,2.261763098,3.444247029
2014,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,92,0,Europe and Central Asia,C014,3.5,7,6.355839835,5804000,25.25321102,30.24028065,68.269,9.5,615.7,0.00683,0.0863,1.254,163.3,69,53.63758214,11.8,93.28571429,5.01,-6.908754779,2.549445171,15.57405807,2.351375257,3.441708309
2015,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,56,0,Europe and Central Asia,C014,4,7.4,6.644062672,5696000,25.37296867,30.26011042,68.416,7.4,571.7,0.00717,0.0697,1.211,173.5,70,53.63758214,12.5,92.85714286,4.96,-6.908754779,2.602689685,15.55527491,2.128231706,3.442342857
2016,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,168,0,Europe and Central Asia,C014,3.2,6.6,6.701625104,5942000,25.41050145,30.2689211,68.563,7.1,665,0.0143,0.113,1.396,161.7,70,53.63758214,12.3,93.14285714,4.76,-6.908754779,2.587764035,15.5975565,2.091864062,3.442624668
2017,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,143,0,Europe and Central Asia,C014,3.2,6.3,6.606041121,6145000,26.48121464,30.816,68.717,6.3,754.4,0.0117,0.137,0.616,186.9,71,53.63758214,13.3,92.71428571,4.69,-6.908754779,2.660259537,15.63114946,1.987874348,3.459969308
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.006,179,1,Europe and Central Asia,C014,3.4,7,6.705707844,6033000,26.38665909,30.9234386,68.88,8.2,525.2,0.00549,0.142,2.049,141.8,73,53.63758214,13.2,90.85714286,4.57,-4.956832588,2.653241965,15.61275512,2.219203484,3.463340492
2019,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,152,0,Europe and Central Asia,C014,3.7,7.2,6.630772401,6103000,25.58628588,31.03854971,69.051,6.5,702,0.0105,0.0967,1.04,186.4,74,53.63758214,12.03148556,90.57142857,4.57,-6.908754779,2.567368395,15.62429118,2.014903021,3.466939856
2020,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,173,0,Europe and Central Asia,C014,4.9,8.2,7.401750397,1695000,22.90851264,31.09992982,69.229,6.4,678.5,0.00858,0.143,1.117,176.1,75,53.63758214,11.61032415,90.28571429,4.57,-6.908754779,2.534515855,14.34319389,2.00148,3.468853844
2021,CRKP,Klebsiella pneumoniae,Carbapenems,0.009,218,2,Europe and Central Asia,C014,2.8,6.3,10.12966181,12153346.66,17.03516348,30.98922337,69.41300426,7.2,671.8,0.0128,0.0919,1.727,173.3,74,53.63758214,11.61032415,92.88520312,4.426306321,-4.597138014,2.534515855,16.31311522,2.104134154,3.465399076
2022,CRKP,Klebsiella pneumoniae,Carbapenems,0.015,204,3,Europe and Central Asia,C014,3.4,7,15.83502224,40102039.99,6.794656016,30.64502685,69.60201279,6.7,577.5,0.00676,0.127,0.655,166.6,74,53.63758214,11.61032415,92.90902995,4.018918963,-4.121067632,2.534515855,17.50693779,2.041220329,3.454581007
2005,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,131,0,Europe and Central Asia,C015,-1,3.1,8.287995755,3140000,22.19061803,17.22346761,82.905,7.2,621.7,0.00907,0.238,1.092,182,96,53.63758214,19.6,93.81841352,7.05,-6.908754779,3.025291076,14.95973368,2.104134154,2.902710193
2006,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,214,0,Europe and Central Asia,C015,-1.4,2.8,8.284675129,3375000,21.25458361,17.31698399,83.037,8.5,511.4,0.00834,0.17,1.003,169.8,96,53.63758214,19.2,93.81841352,6.99,-6.908754779,3.005682604,15.03190618,2.251291799,2.907828716
2007,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,251,0,Europe and Central Asia,C015,-1,3,8.082621339,3519000,21.37723407,17.39195633,83.168,7.8,640,0.00939,0.23,0.88,199.3,94,53.63758214,19.6,92.94786561,6.73,-6.908754779,3.025291076,15.0736877,2.174751721,2.911913413
2008,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,280,0,Europe and Central Asia,C015,-0.7,3.2,8.343182907,3583000,21.17243229,17.48403751,83.299,6.8,694.9,0.0125,0.315,0.832,208.9,90,53.63758214,19.9,92.94786561,6.57,-6.908754779,3.039749159,15.09171128,2.054123734,2.916907522
2009,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,351,1,Europe and Central Asia,C015,-1.7,2.4,9.161227166,3423000,20.96934672,17.56785456,83.429,7,550.4,0.0076,0.237,1.339,175,89,53.63758214,19.8,93.37643704,6.25,-5.519458915,3.034952987,15.04602821,2.079441542,2.921431836
2010,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,391,0,Europe and Central Asia,C015,-3.1,1.1,9.142632343,3670000,21.44969483,17.64841066,83.77,7.6,567.5,0.0117,0.217,1.276,178.3,92,53.63758214,20,93.51929418,5.85,-6.908754779,3.044522438,15.11570249,2.151762203,2.925760923
2011,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,404,0,Europe and Central Asia,C015,-0.6,3.5,9.223211986,4192000,20.82776811,17.73099477,84.313,6.9,636,0.0115,0.221,1.174,191.4,94,53.63758214,21.7,93.37643704,5.52,-6.908754779,3.122364924,15.24868874,2.066862759,2.930179626
2012,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,536,0,Europe and Central Asia,C015,-2.2,1.8,9.585994891,4226000,20.19279512,17.81556155,84.841,6.6,722.1,0.0148,0.384,1.104,213.1,90,53.63758214,20.8,93.37643704,5.3,-6.908754779,3.08190997,15.25676671,2.028148247,2.934684269
2013,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,550,0,Europe and Central Asia,C015,-1.1,3.3,9.805528071,2797000,20.53725714,17.89783145,85.125,6.2,542.1,0.0108,0.26,1.229,176.3,89,53.63758214,19.7,92.94786561,4.87,-6.908754779,3.0301337,14.84405833,1.974081026,2.939047177
2014,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,583,0,Europe and Central Asia,C015,-0.6,3.5,9.781280949,2731000,20.44188252,17.97200303,85.175,7.3,552.2,0.00832,0.237,1.187,170.2,89,53.63758214,20.4,92.80500846,4.53,-6.908754779,3.063390922,14.82017877,2.116255515,2.942964368
2015,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,658,0,Europe and Central Asia,C015,-0.2,3.7,9.645361948,2622000,21.43538431,18.03011089,85.225,5.7,636,0.0138,0.348,1.442,206.7,90,53.63758214,19.8,92.23357989,4.35,-6.908754779,3.034952987,14.77944832,1.902107526,2.946022508
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,770,2,Europe and Central Asia,C015,-0.8,3.1,9.378103775,2789000,22.16519705,18.08200783,85.275,5.4,642.6,0.0135,0.386,1.532,188.6,89,53.63758214,19.3,90.13603212,3.97,-5.519458915,3.010620886,14.84119403,1.85629799,2.948745893
2017,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,758,2,Europe and Central Asia,C015,-1.3,2.5,9.126824785,3180000,21.98470459,18.12389445,85.325,4.7,619.9,0.0109,0.294,1.496,194.9,85,53.63758214,17.6,89.85031784,3.28,-5.519458915,2.923161581,14.97239207,1.740466175,2.950938572
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.006,810,5,Europe and Central Asia,C015,-1.1,3.2,9.045246671,3224000,21.43918396,18.14795012,85.382,5.8,493.5,0.0106,0.277,0.986,155.5,85,53.63758214,18.3,91.13603212,3.61,-4.956832588,2.960105096,14.98613369,1.916922612,2.952195667
2019,CRKP,Klebsiella pneumoniae,Carbapenems,0.004,850,3,Europe and Central Asia,C015,-1.3,2.8,8.908005955,3290000,19.80098518,18.16736091,85.446,5,644.3,0.0117,0.268,1.32,200.3,86,53.63758214,19.00062129,91.13603212,3.61,-5.295312858,2.995763338,15.00639843,1.791759469,2.95320888
2020,CRKP,Klebsiella pneumoniae,Carbapenems,0.001,901,1,Europe and Central Asia,C015,0.3,4.3,9.362166944,896000,18.65169156,18.19287688,85.517,4.9,645,0.0132,0.333,1.343,195.5,85,53.63758214,19.36066149,90.56460355,3.61,-6.214608098,3.013604681,13.70569681,1.774952351,2.954539214
2021,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,971,0,Europe and Central Asia,C015,-1.7,2.4,11.10973588,6616489.093,19.72591887,18.23479531,85.59505372,5.2,626,0.0122,0.337,1.516,181.1,88,53.63758214,19.54568149,90.83337093,4.081280277,-6.908754779,3.022650772,15.70507559,1.824549292,2.956720895
2022,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,793,0,Europe and Central Asia,C015,-0.7,3.4,14.79777706,21729467.28,24.60525043,18.30386627,85.68016116,5.1,583.5,0.0122,0.312,1.455,183.2,87,53.63758214,19.64076087,90.66882338,5.353840831,-6.908754779,3.027267804,16.89417988,1.808288771,2.960305401
2005,CRKP,Klebsiella pneumoniae,Carbapenems,0.001,753,1,Europe and Central Asia,C016,7.1,11.4,10.28246185,185829000,27.45205573,115.4005793,77.13,13.3,686,0.0614,0.127,2.201,146,75,53.63758214,26.5,82.81183349,7.22,-6.214608098,3.314186005,19.04033746,2.660259537,4.757037512
2006,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,831,0,Europe and Central Asia,C016,7.8,12,10.45180608,193882000,28.72668309,116.2039039,77.377,13.6,822.4,0.0771,0.176,1.204,154.4,74,53.63758214,25.9,84.24040492,7.11,-6.908754779,3.292126287,19.08276029,2.681021529,4.763915186
2007,CRKP,Klebsiella pneumoniae,Carbapenems,0.001,1057,1,Europe and Central Asia,C016,7.5,11.7,10.37538821,193319000,28.90340187,116.9225067,77.621,13.8,837,0.0744,0.204,1.946,159.7,73,53.63758214,26.9,84.09754777,7.06,-6.214608098,3.328626689,19.07985224,2.694627181,4.770027686
2008,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,1021,0,Europe and Central Asia,C016,7.2,11.4,10.56195834,193571000,29.37361153,117.576245,77.868,14.4,943.3,0.0831,0.214,2.13,176.8,69,53.63758214,26.7,86.369857,6.9,-6.908754779,3.321432413,19.08115493,2.734367509,4.775556171
2009,CRKP,Klebsiella pneumoniae,Carbapenems,0.002,1268,3,Europe and Central Asia,C016,7.4,11.8,11.35070566,192369000,29.3205471,118.1810825,78.117,15.8,819.6,0.0587,0.144,1.695,159.6,69,53.63758214,27.5,86.65557129,6.66,-5.80814249,3.349904087,19.07492597,2.821378886,4.780644038
2010,CRKP,Klebsiella pneumoniae,Carbapenems,0.001,1432,1,Europe and Central Asia,C016,6.5,10.7,11.29070527,189826000,29.55669401,118.7649414,78.369,16.1,850.9,0.0736,0.156,0.242,167.6,68,53.63758214,26.6,85.55802351,6.43,-6.214608098,3.317815773,19.06161843,2.839078464,4.785531
2011,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,1640,0,Europe and Central Asia,C016,7.9,12.4,11.24806475,196595000,29.79473684,119.3395993,78.622,15.7,734.6,0.0664,0.146,1.354,141.6,70,53.63758214,26.9,87.98659494,6.36,-6.908754779,3.328626689,19.09665634,2.815408719,4.79031774
2012,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,1627,8,Europe and Central Asia,C016,7.3,11.6,11.3640761,197522000,29.70904632,119.9185473,78.878,14.1,880,0.0755,0.142,1.54,165.5,71,53.63758214,27.3,89.55802351,6.34,-5.111987788,3.342861805,19.10136053,2.714694744,4.795117156
2013,CRKP,Klebsiella pneumoniae,Carbapenems,0.007,1842,13,Europe and Central Asia,C016,7.1,11.2,11.4745468,204410000,29.6975381,120.5395767,79.135,14.5,941.6,0.0941,0.242,1.424,179.2,71,53.63758214,27.2,90.41516637,6.28,-4.822295665,3.339321978,19.13563834,2.740840024,4.800239944
2014,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,2103,11,Europe and Central Asia,C016,8.3,12.6,11.55961489,206599000,29.66719385,121.1053224,79.394,11.5,944.2,0.0849,0.24,2.591,176.6,69,53.63758214,28.4,90.55802351,6.2,-5.111987788,3.380994674,19.14629028,2.525728644,4.804883971
2015,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,2244,11,Europe and Central Asia,C016,7.9,12.2,11.45628603,203302000,27.73507328,121.5367021,79.655,12.2,723.1,0.0617,0.163,2.613,149.1,70,53.63758214,28.9,91.12945208,6.13,-5.111987788,3.39785848,19.13020312,2.58021683,4.808410594
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.004,2528,10,Europe and Central Asia,C016,7.6,11.8,11.50008073,203042000,24.98901037,121.857823,79.917,11.2,819.6,0.0802,0.185,2.151,161.7,69,53.63758214,29.2,90.98659494,6.06,-5.295312858,3.407841924,19.12892342,2.501435952,4.811027776
2017,CRKP,Klebsiella pneumoniae,Carbapenems,0.007,2807,20,Europe and Central Asia,C016,7.6,12,11.37595256,207274000,24.28123296,122.2119706,80.18,10.8,739.3,0.0685,0.158,1.487,152.3,70,53.63758214,27.5,90.98659494,5.98,-4.822295665,3.349904087,19.14955215,2.468099531,4.81390621
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,2998,15,Europe and Central Asia,C016,8.3,12.7,11.23465814,211998000,24.21782071,122.6508802,80.444,10.7,875.8,0.0989,0.266,2.157,165.2,72,53.63758214,27.1,91.55802351,5.91,-5.111987788,3.335769576,19.1720874,2.459588842,4.817462112
2019,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,3003,30,Europe and Central Asia,C016,8,12.4,10.79584072,217877000,24.83544638,123.0702941,80.709,9.6,853.9,0.0742,0.13,1.452,165.9,69,53.63758214,27.30774406,92.27230923,5.91,-4.500819262,3.343135409,19.19944125,2.360854001,4.820848293
2020,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,4796,24,Europe and Central Asia,C016,8.4,12.8,11.92559868,117109000,23.28100842,123.4046994,80.975,8.9,825.6,0.0821,0.244,3.317,159.2,69,53.63758214,27.48480178,92.27230923,5.91,-5.111987788,3.349370674,18.57861569,2.292534757,4.823539956
2021,CRKP,Klebsiella pneumoniae,Carbapenems,0.008,4727,38,Europe and Central Asia,C016,7.4,11.7,16.62087464,204333703.3,16.4978771,123.5926676,81.24199879,10.1,837.5,0.104,0.279,1.938,158.8,71,53.63758214,27.6357059,94.3814822,5.832143223,-4.703506087,3.354654397,19.13526502,2.406945108,4.825049757
2022,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,4965,50,Europe and Central Asia,C016,8.6,13.2,26.74776698,854253109.9,1.632950876,123.5686858,81.50999637,10.6,656.3,0.0838,0.246,2.062,134,72,53.63758214,27.76431963,95.07379475,5.606429668,-4.500819262,3.359135717,20.56573809,2.451005098,4.824857257
2005,CRKP,Klebsiella pneumoniae,Carbapenems,2.22E-18,275,0,Europe and Central Asia,C054,6.4,9.5,8.418978802,29970000,18.57931157,249.6639772,79.915,11.9,1207.5,0.0275,0.336,1.116,183.9,86,53.63758214,16.7,86.56460355,3.72,-6.908754779,2.87356464,17.21570747,2.557227311,5.524113306
2006,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,286,1,Europe and Central Asia,C054,6.5,9.7,8.682833436,32713000,18.45210556,251.5058901,80.199,12.5,1326.9,0.0311,0.315,1.25,204.5,86,53.63758214,16.8,87.42174641,3.54,-5.519458915,2.879198457,17.30328314,2.602689685,5.531434576
2007,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,302,1,Europe and Central Asia,C054,6.4,9.7,8.674317921,32778000,18.23818836,253.4719258,80.479,12.2,1309.4,0.0344,0.396,1.332,195.1,84,53.63758214,17.7,87.42174641,3.39,-5.519458915,2.928523524,17.30526815,2.58021683,5.539190519
2008,CRKP,Klebsiella pneumoniae,Carbapenems,0.012,242,3,Europe and Central Asia,C054,6,9.2,9.079877845,31888000,18.6066155,255.4747034,80.757,11.9,1068.3,0.0365,0.437,0.838,176.2,77,53.63758214,17.9,87.56460355,3.33,-4.331744974,2.939161922,17.27774035,2.557227311,5.547030038
2009,CRKP,Klebsiella pneumoniae,Carbapenems,0.002,591,1,Europe and Central Asia,C054,6.1,9.3,10.10555099,31072000,18.96519933,257.4144174,81.031,12,1195.2,0.0297,0.386,0.948,186.8,77,53.63758214,18,88.56460355,3.26,-5.80814249,2.944438979,17.25181768,2.564949357,5.554564565
2010,CRKP,Klebsiella pneumoniae,Carbapenems,0.001,677,1,Europe and Central Asia,C054,4.8,8.2,9.991804397,30398000,19.11805046,259.4401893,81.302,12.6,1375.9,0.0217,0.267,0.05,209,76,53.63758214,18.4,90.13603212,2.93,-6.214608098,2.965273066,17.22988741,2.610069793,5.562373235
2011,CRKP,Klebsiella pneumoniae,Carbapenems,0.004,825,3,Europe and Central Asia,C054,6.3,9.6,9.984782843,31886000,19.11201905,261.4756748,81.57,13.1,1160.6,0.0277,0.331,0.851,181.7,78,53.63758214,18.7,90.85031784,2.88,-5.295312858,2.980618636,17.27767763,2.646174797,5.57015841
2012,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,888,4,Europe and Central Asia,C054,5.7,8.9,10.01163495,32221000,19.36975501,263.3001901,81.837,11.3,1399,0.0404,0.395,0.576,206.8,74,53.63758214,19.6,91.42174641,2.81,-5.111987788,3.025291076,17.288129,2.509599262,5.577085541
2013,CRKP,Klebsiella pneumoniae,Carbapenems,0.005,1051,5,Europe and Central Asia,C054,5.7,8.9,9.936050081,33567000,19.58434683,265.0695366,82.102,12.6,1317.8,0.0248,0.357,0.364,200.3,76,53.63758214,19.3,91.70746069,2.76,-5.111987788,3.010620886,17.32905403,2.610069793,5.58375769
2014,CRKP,Klebsiella pneumoniae,Carbapenems,0.008,1069,9,Europe and Central Asia,C054,6.7,9.9,9.935806686,35337000,19.54077915,267.0288844,82.365,12.3,1196.4,0.0322,0.449,1.718,187.8,78,53.63758214,21.1,91.85031784,2.73,-4.703506087,3.095577609,17.38044116,2.587764035,5.591094752
2015,CRKP,Klebsiella pneumoniae,Carbapenems,0.004,962,4,Europe and Central Asia,C054,5.9,9.2,9.866622006,36792000,19.6044745,269.1531393,82.626,10.6,1208,0.034,0.375,0.614,197,81,53.63758214,20.5,91.85031784,2.61,-5.295312858,3.068052935,17.42079102,2.451005098,5.598988981
2016,CRKP,Klebsiella pneumoniae,Carbapenems,0.003,4068,12,Europe and Central Asia,C054,6.1,9.4,9.813342308,39129000,19.12020704,271.2007316,82.886,10.8,1144.8,0.025,0.379,1.161,178.4,81,53.63758214,20,91.27888926,2.57,-5.519458915,3.044522438,17.48237446,2.468099531,5.606539778
2017,CRKP,Klebsiella pneumoniae,Carbapenems,0.006,5274,32,Europe and Central Asia,C054,6.4,9.6,9.675228559,41080000,19.62010241,273.049473,83.143,10.5,1296,0.0254,0.304,1.424,203.8,82,53.63758214,19.1,91.13603212,2.54,-4.956832588,3.000719815,17.53103197,2.442347035,5.613308648
2018,CRKP,Klebsiella pneumoniae,Carbapenems,0.007,5592,39,Europe and Central Asia,C054,6.1,9.5,9.761558021,40283000,19.89193258,274.7089819,83.398,10.7,1359.3,0.0269,0.326,0.998,198,80,53.63758214,18,91.13603212,2.5,-4.822295665,2.944438979,17.51144013,2.459588842,5.619345896
2019,CRKP,Klebsiella pneumoniae,Carbapenems,0.007,5275,37,Europe and Central Asia,C054,6.2,9.6,9.853163498,40857000,19.75936134,276.2630802,83.652,10.4,1171.3,0.0354,0.345,1.231,175.1,77,53.63758214,18,91.41516637,2.46,-4.822295665,2.944438979,17.52558875,2.433613355,5.624966803
2020,CRKP,Klebsiella pneumoniae,Carbapenems,0.01,466,5,Europe and Central Asia,C054,6.4,9.7,12.15864268,11101000,16.29167402,277.2753854,83.903,9.6,1176.4,0.0371,0.441,1.373,180.8,77,53.63758214,18,91.41516637,2.46,-4.500819262,2.944438979,16.22254584,2.360854001,5.628611218
2005,CRKP,Klebsiella pneumoniae,Carbapenems,0.278,773,215,Europe and Central Asia,C018,11.1,15.3,8.578256224,15938000,39.16567147,85.23905353,74.452,19.9,704,0.114,0.0733,0.967,94.4,43,53.63758214,36.2,91.22699986,4.78,-0.95219744,3.616308761,16.58421682,3.039749159,4.457123132
2006,CRKP,Klebsiella pneumoniae,Carbapenems,0.329,837,275,Europe and Central Asia,C018,11.1,15.3,8.270948848,17284000,38.39144664,85.49543832,74.827,19.1,675.6,0.102,0.0855,0.991,87.3,44,53.63758214,38.7,92.22699986,4.87,-0.711165686,3.681351188,16.66529183,3.000719815,4.460091676
2007,CRKP,Klebsiella pneumoniae,Carbapenems,0.424,966,410,Europe and Central Asia,C018,11.6,16,8.406502776,17284000,36.66234114,85.71352211,75.199,21.2,628.8,0.0849,0.0344,0.946,82.1,46,53.63758214,41.8,91.70088066,4.88,-0.305753098,3.756538103,16.66529183,3.100092289,4.462609836
2008,CRKP,Klebsiella pneumoniae,Carbapenems,0.366,1074,393,Europe and Central Asia,C018,11.7,16.1,8.841232892,17284000,34.66430663,85.94135764,75.568,21.5,525.9,0.0614,0.0352,0.698,77.7,47,53.63758214,40.8,91.70088066,4.84,-0.548263151,3.73289634,16.66529183,3.113515309,4.465233841
2009,CRKP,Klebsiella pneumoniae,Carbapenems,0.435,1627,708,Europe and Central Asia,C018,11.7,16,9.417196799,17284000,31.67172018,86.16770365,75.932,18.8,873.1,0.138,0.0791,0.884,105.5,38,53.63758214,43.9,91.70088066,4.93,-0.260951835,3.804437795,16.66529183,2.985681938,4.467833891
2010,CRKP,Klebsiella pneumoniae,Carbapenems,0.491,1687,828,Europe and Central Asia,C018,12.4,16.6,9.598873335,17284000,31.07613162,86.27882855,76.292,18.4,682.2,0.137,0.118,1.276,93.5,35,53.63758214,38.8,91.70088066,4.48,-0.035932009,3.683866912,16.66529183,2.965273066,4.46910792
