year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2019,CREC,Escherichia coli,Carbapenems,0.002,1090,2,Europe and Central Asia,C009,8.8,13.5,6.568211849,60021000.0,18.4482875,72.64050104,57.242,16.1,1302.1,0.121,0.114,1.304,160.6,47.0,53.63758214,22.9,94.42857143,5.54
2020,CREC,Escherichia coli,Carbapenems,2.22e-18,820,0,Europe and Central Asia,C009,8.3,13.0,7.5074392,21608000.0,18.11797058,72.33166548,57.553,15.3,1127.0,0.0959,0.111,1.728,148.7,47.0,53.63758214,23.1,93.14285714,5.54
2021,CREC,Escherichia coli,Carbapenems,2.22e-18,686,0,Europe and Central Asia,C009,7.8,12.5,11.01399717,105385910.2,14.72150123,71.96503689,57.8811308,15.6,1069.4,0.0991,0.155,1.898,137.9,47.0,53.63758214,23.3,95.29879585,5.53510163
2022,CREC,Escherichia coli,Carbapenems,0.001,980,1,Europe and Central Asia,C009,8.7,13.5,18.44464325,365649730.7,6.520564087,71.38352008,58.22739239,16.6,869.3,0.0828,0.0951,1.383,141.5,50.0,53.63758214,23.5,95.3434535,5.525304889
2001,CREC,Escherichia coli,Carbapenems,2.22e-18,212,0,Europe and Central Asia,C019,6.0,10.8,6.816325425,30679000.0,33.09774739,113.6752511,64.67,25.0,594.9,0.0125,0.0205,1.314,138.4,53.0,53.63758214,18.0,97.14943718,7.92
2002,CREC,Escherichia coli,Carbapenems,2.22e-18,305,0,Europe and Central Asia,C019,6.7,11.6,7.109647343,31739000.0,30.7598746,113.3520196,65.081,27.4,601.5,0.0086,0.0152,0.435,136.9,49.0,53.63758214,16.8,97.00658004,7.91
2003,CREC,Escherichia coli,Carbapenems,2.22e-18,772,0,Europe and Central Asia,C019,5.6,10.8,8.110181266,31412000.0,30.01810727,113.0278063,65.489,26.7,471.7,0.00669,0.0188,0.385,110.6,48.0,53.63758214,18.4,97.14943718,7.9
2004,CREC,Escherichia coli,Carbapenems,0.002,850,2,Europe and Central Asia,C019,5.9,10.6,7.750652145,33934000.0,30.37527552,112.7777951,65.896,22.5,678.6,0.0129,0.0339,0.337,146.6,48.0,53.63758214,17.8,97.14943718,7.89
2005,CREC,Escherichia coli,Carbapenems,0.001,961,1,Europe and Central Asia,C019,5.4,10.2,7.976222917,36173000.0,29.84217044,112.5662872,66.365,23.3,703.7,0.0152,0.042,0.213,141.4,50.0,53.63758214,19.8,97.14943718,7.91
2006,CREC,Escherichia coli,Carbapenems,0.002,1031,2,Europe and Central Asia,C019,5.8,10.8,7.774542173,38318000.0,29.64626655,112.3911394,66.895,24.6,593.0,0.0095,0.047,0.254,127.1,52.0,53.63758214,17.9,97.14943718,7.98
2007,CREC,Escherichia coli,Carbapenems,2.22e-18,1053,0,Europe and Central Asia,C019,7.1,11.9,7.195594749,39379000.0,32.21142465,112.2171633,67.421,18.1,641.8,0.00752,0.0114,1.08,136.4,53.0,53.63758214,16.3,97.14943718,7.19
2008,CREC,Escherichia coli,Carbapenems,0.001,985,1,Europe and Central Asia,C019,7.1,11.9,7.083306466,39554000.0,32.25332163,112.0208459,67.943,19.1,622.1,0.00788,0.0145,0.881,135.6,51.0,53.63758214,16.0,97.14943718,7.11
2009,CREC,Escherichia coli,Carbapenems,2.22e-18,1029,0,Europe and Central Asia,C019,6.8,11.7,7.216148723,40624000.0,32.01831692,110.7108141,68.46,20.6,647.3,0.0115,0.0209,0.771,143.8,51.0,53.63758214,16.1,97.14943718,7.14
2010,CREC,Escherichia coli,Carbapenems,0.002,1311,3,Europe and Central Asia,C019,6.0,10.7,7.438326423,39904000.0,33.37442912,110.4608748,68.911,20.6,898.0,0.0332,0.0529,1.584,165.6,47.0,53.63758214,16.0,97.14943718,7.18
2011,CREC,Escherichia coli,Carbapenems,0.001,1151,1,Europe and Central Asia,C019,6.0,11.2,7.470823674,41304000.0,33.78292868,110.1483155,69.358,23.5,443.4,0.00605,0.0632,0.394,103.6,46.0,53.63758214,15.7,97.14943718,7.19
2012,CREC,Escherichia coli,Carbapenems,2.22e-18,1307,0,Europe and Central Asia,C019,6.5,11.6,7.402005678,43565000.0,35.15967264,109.5809345,69.678,20.2,524.9,0.00633,0.0101,1.235,124.2,55.0,53.63758214,14.9,97.14943718,7.0
2013,CREC,Escherichia coli,Carbapenems,0.001,1355,1,Europe and Central Asia,C019,6.7,11.5,7.222938697,43611000.0,33.79019411,109.2795979,69.953,19.2,619.4,0.0156,0.057,1.317,139.6,54.0,53.63758214,15.3,97.14943718,7.04
2014,CREC,Escherichia coli,Carbapenems,2.22e-18,1517,0,Europe and Central Asia,C019,7.5,12.4,7.03888541,45984000.0,33.27833621,108.1138286,70.227,18.2,727.8,0.0227,0.0469,1.06,139.0,54.0,53.63758214,16.3,97.14943718,6.98
2015,CREC,Escherichia coli,Carbapenems,2.22e-18,1922,0,Europe and Central Asia,C019,7.1,12.1,6.845299326,48345000.0,32.21471894,107.8569801,70.5,19.0,574.3,0.00911,0.0487,0.904,124.5,51.0,53.63758214,17.4,97.14943718,6.99
2016,CREC,Escherichia coli,Carbapenems,2.22e-18,1905,0,Europe and Central Asia,C019,6.7,11.6,6.976072383,52890000.0,32.28891876,107.5391519,70.779,17.1,744.2,0.0158,0.0507,1.561,143.6,48.0,53.63758214,15.9,97.14943718,7.0
2017,CREC,Escherichia coli,Carbapenems,0.001,1987,2,Europe and Central Asia,C019,6.5,11.6,6.732726237,54962000.0,31.5602077,107.253627,71.062,18.9,623.6,0.011,0.0269,0.642,134.8,45.0,53.63758214,16.2,97.14943718,7.02
2018,CREC,Escherichia coli,Carbapenems,2.22e-18,2279,0,Europe and Central Asia,C019,7.3,12.4,6.574282676,57667000.0,30.79599878,107.1177296,71.351,18.3,593.8,0.0106,0.0476,1.905,137.1,46.0,53.63758214,16.4,97.14943718,7.01
2019,CREC,Escherichia coli,Carbapenems,2.22e-18,2326,0,Europe and Central Asia,C019,7.4,12.6,6.090805276,61397000.0,31.69131191,107.0692636,71.644,14.7,618.9,0.00982,0.00891,1.381,136.8,44.0,53.63758214,16.4,97.14943718,7.01
2020,CREC,Escherichia coli,Carbapenems,2.22e-18,1917,0,Europe and Central Asia,C019,7.1,12.0,7.04628404,31641000.0,28.89746979,106.8392395,71.942,13.6,646.0,0.0125,0.0142,1.307,135.4,44.0,53.63758214,16.4,97.14943718,7.01
2021,CREC,Escherichia coli,Carbapenems,2.22e-18,2391,0,Europe and Central Asia,C019,6.3,11.3,11.34693161,68006134.87,16.66933062,106.1475583,72.24625983,14.4,558.3,0.00742,0.0239,1.655,134.9,43.0,53.63758214,16.4,97.15896099,6.995536034
2022,CREC,Escherichia coli,Carbapenems,0.002,2515,5,Europe and Central Asia,C019,7.3,12.3,20.75673799,272055404.6,10.34178291,104.7252304,72.5577795,14.0,505.2,0.00986,0.00802,1.04,121.8,42.0,53.63758214,16.4,97.16044522,6.956608101
2008,CREC,Escherichia coli,Carbapenems,0.09,55,5,South Asia,C021,18.2,24.1,3.585137437,5283000.0,75.50202211,405.8720788,30.246,51.9,1170.0,0.268,0.302,0.753,56.4,34.0,59.33857962,9.0,70.93371294,0.41
2009,CREC,Escherichia coli,Carbapenems,0.05,155,8,South Asia,C021,18.9,24.8,3.547271024,5168000.0,73.37130063,411.5580101,30.587,51.1,1014.3,0.237,0.226,0.907,51.2,34.0,59.33857962,9.6,74.36228436,0.44
2010,CREC,Escherichia coli,Carbapenems,0.05,185,9,South Asia,C021,18.8,24.7,3.335892588,5776000.0,72.8231755,417.2668481,30.93,50.6,1273.4,0.309,0.323,1.147,60.3,33.0,59.33857962,10.2,76.36228436,0.47
2011,CREC,Escherichia coli,Carbapenems,0.07,281,20,South Asia,C021,18.3,24.2,3.246342764,6309000.0,70.25712556,422.9871589,31.276,53.9,1151.6,0.273,0.347,0.959,59.4,31.0,59.43491763,10.9,70.40759374,0.63
2012,CREC,Escherichia coli,Carbapenems,0.13,412,54,South Asia,C021,18.2,24.1,3.329352008,6578000.0,71.06796396,428.659862,31.634,52.0,1060.0,0.269,0.287,0.667,55.0,36.0,59.53460088,11.1,75.69330802,0.49
2013,CREC,Escherichia coli,Carbapenems,0.11,445,49,South Asia,C021,18.1,24.0,3.74944131,6968000.0,76.65864793,434.2581749,32.003,51.4,1253.8,0.275,0.355,0.687,61.4,36.0,59.63734533,11.8,68.57142857,0.49
2014,CREC,Escherichia coli,Carbapenems,0.11,408,45,South Asia,C021,18.2,24.1,3.619565875,13107000.0,75.58837071,439.6780929,32.384,50.9,1073.8,0.235,0.238,1.66,54.1,38.0,59.7434301,12.7,71.71428571,0.52
2015,CREC,Escherichia coli,Carbapenems,0.15,3108,466,South Asia,C021,18.4,24.2,3.5956592,13284000.0,73.64810446,444.931708,32.777,50.6,1124.8,0.248,0.229,0.419,56.4,38.0,61.83639136,13.3,78.28571429,0.58
2016,CREC,Escherichia coli,Carbapenems,0.2,223,45,South Asia,C021,18.7,24.6,3.504304176,14570000.0,72.51978927,450.2357199,33.182,53.6,1113.5,0.261,0.296,1.411,55.5,40.0,63.9222864,13.7,85.0,0.48
2017,CREC,Escherichia coli,Carbapenems,0.18,1619,291,South Asia,C021,18.6,24.5,2.935976047,15543000.0,66.46324199,455.468934,33.6,54.5,1161.0,0.264,0.269,1.694,58.8,40.0,66.00089544,14.0,88.28571429,0.53
2018,CREC,Escherichia coli,Carbapenems,0.42,442,186,South Asia,C021,18.5,24.3,2.862458263,17423000.0,65.24590595,460.4493174,34.03,55.9,1025.5,0.238,0.251,0.82,55.6,41.0,68.07148665,14.2,89.57142857,0.53
2019,CREC,Escherichia coli,Carbapenems,0.41,1215,498,South Asia,C021,18.4,24.3,2.910162265,17914000.0,65.64927174,465.1946394,34.472,52.9,1326.4,0.286,0.334,1.339,60.4,41.0,70.13359887,14.53190008,90.57142857,0.53
2020,CREC,Escherichia coli,Carbapenems,0.29,1825,529,South Asia,C021,18.3,24.1,2.926438139,17914000.0,62.36386405,469.6595667,34.926,51.5,1254.1,0.279,0.336,0.786,62.2,40.0,72.18676937,14.96290507,85.0,0.53
2002,CREC,Escherichia coli,Carbapenems,2.22e-18,579,0,Europe and Central Asia,C022,6.7,10.0,6.727803509,6476000.0,21.00878591,57.07572942,59.649,9.6,1467.1,0.039,0.53,1.168,233.2,69.0,53.63758214,19.9,83.10412781,5.78
2003,CREC,Escherichia coli,Carbapenems,0.001,745,1,Europe and Central Asia,C022,6.7,10.1,7.064412721,6764000.0,21.23682471,58.01307882,59.925,10.7,1009.8,0.0233,0.354,0.96,202.8,75.0,53.63758214,19.5,85.10412781,5.67
2004,CREC,Escherichia coli,Carbapenems,2.22e-18,842,0,Europe and Central Asia,C022,6.7,10.0,7.293894228,6953000.0,21.08354672,59.08349543,60.202,8.5,1124.0,0.0259,0.381,1.084,216.6,75.0,53.63758214,19.8,78.24698495,5.64
2005,CREC,Escherichia coli,Carbapenems,2.22e-18,1026,0,Europe and Central Asia,C022,6.9,10.2,7.732096369,7333000.0,21.13214804,60.38487444,60.477,8.9,1107.5,0.0268,0.393,0.526,205.0,74.0,53.63758214,20.6,79.24698495,5.46
2006,CREC,Escherichia coli,Carbapenems,2.22e-18,1233,0,Europe and Central Asia,C022,6.9,10.3,7.633838858,8001000.0,22.17467207,62.03499782,60.738,8.9,1223.8,0.0383,0.436,1.621,215.4,74.0,53.63758214,21.3,79.96127067,5.26
2007,CREC,Escherichia coli,Carbapenems,2.22e-18,1321,0,Europe and Central Asia,C022,7.0,10.4,7.91256031,8332000.0,20.76661059,63.85457976,60.94,9.4,1106.6,0.0331,0.448,0.935,209.1,75.0,53.63758214,22.4,80.81841352,5.1
2008,CREC,Escherichia coli,Carbapenems,2.22e-18,1447,0,Europe and Central Asia,C022,6.5,9.8,9.190703569,8026000.0,20.67852336,65.16974888,61.141,9.3,1359.8,0.0396,0.543,1.155,242.6,77.0,53.63758214,21.7,81.67555638,4.85
2009,CREC,Escherichia coli,Carbapenems,2.22e-18,1610,0,Europe and Central Asia,C022,6.5,9.8,10.5553586,7189000.0,22.92829335,65.83502685,61.342,9.1,1396.1,0.0466,0.598,0.881,230.4,80.0,53.63758214,20.9,81.53269924,2.83
2010,CREC,Escherichia coli,Carbapenems,2.22e-18,1940,0,Europe and Central Asia,C022,5.3,8.8,10.54939343,7134000.0,23.82224481,66.19473073,61.542,9.4,1059.0,0.025,0.355,2.712,193.0,80.0,53.63758214,20.2,75.95469063,2.73
2011,CREC,Escherichia coli,Carbapenems,2.22e-18,2149,0,Europe and Central Asia,C022,6.6,9.9,10.65152077,7630000.0,28.10568561,66.484018,61.742,9.2,1176.9,0.0312,0.446,0.91,234.0,75.0,53.63758214,22.9,85.24040492,2.62
2012,CREC,Escherichia coli,Carbapenems,2.22e-18,2369,0,Europe and Central Asia,C022,6.4,9.6,10.64534977,7550000.0,28.25456969,66.76633764,61.942,8.2,1220.4,0.0313,0.468,1.293,237.1,69.0,53.63758214,23.2,85.38326206,2.54
2013,CREC,Escherichia coli,Carbapenems,2.22e-18,2476,0,Europe and Central Asia,C022,6.3,9.6,10.33744963,8260000.0,29.40829552,67.11882712,62.141,9.1,1135.2,0.0271,0.407,1.263,218.9,72.0,53.63758214,24.0,90.66897634,2.56
2014,CREC,Escherichia coli,Carbapenems,2.22e-18,2697,0,Europe and Central Asia,C022,6.9,10.2,9.578874434,8813000.0,28.99466813,67.61126433,62.34,8.4,1361.7,0.0348,0.539,1.175,238.3,74.0,53.63758214,25.2,90.5261192,2.57
2015,CREC,Escherichia coli,Carbapenems,2.22e-18,2615,0,Europe and Central Asia,C022,6.1,9.6,7.3506751,9528000.0,27.99103231,68.25311366,62.538,7.8,1377.2,0.043,0.494,1.94,236.3,75.0,53.63758214,26.6,90.5261192,2.92
2016,CREC,Escherichia coli,Carbapenems,2.22e-18,2989,0,Europe and Central Asia,C022,6.5,9.9,7.487237421,10100000.0,27.27870871,69.0279431,62.737,7.9,1134.6,0.0241,0.496,1.672,217.9,73.0,53.63758214,26.2,81.95469063,2.96
2017,CREC,Escherichia coli,Carbapenems,2.22e-18,3116,0,Europe and Central Asia,C022,6.8,10.1,7.160484674,10338000.0,27.02087662,69.78353898,62.947,7.2,1183.9,0.0288,0.386,1.572,236.5,74.0,53.63758214,25.2,79.38326206,2.97
2018,CREC,Escherichia coli,Carbapenems,2.22e-18,3237,0,Europe and Central Asia,C022,6.4,9.8,6.920121579,10926000.0,25.87392573,70.65344753,63.17,7.8,1222.6,0.0275,0.431,2.406,220.8,73.0,53.63758214,25.2,78.81183349,2.97
2019,CREC,Escherichia coli,Carbapenems,2.22e-18,3229,0,Europe and Central Asia,C022,6.6,10.0,6.539471101,10951000.0,25.37178569,71.62636087,63.405,8.6,1302.2,0.0359,0.498,1.626,242.0,74.0,53.63758214,25.61111111,78.5261192,2.97
2020,CREC,Escherichia coli,Carbapenems,0.001,2820,3,Europe and Central Asia,C022,6.6,9.9,7.086828808,10951000.0,21.17391467,72.36728117,63.653,7.9,1366.2,0.044,0.575,1.857,244.1,72.0,53.63758214,26.02222222,78.81183349,2.97
2021,CREC,Escherichia coli,Carbapenems,2.22e-18,2891,0,Europe and Central Asia,C022,6.7,10.1,9.738068356,11573481.14,8.557569479,72.52638606,63.91511861,8.1,1160.4,0.0304,0.474,2.644,215.9,74.0,53.63758214,26.43333333,82.30503491,2.967189437
2022,CREC,Escherichia coli,Carbapenems,2.22e-18,2996,0,Europe and Central Asia,C022,7.0,10.5,15.56148531,13356443.43,16.81779171,71.76867772,64.19235582,8.1,1157.4,0.0347,0.43,2.147,211.7,77.0,53.63758214,26.84444444,82.28155934,2.961568312
2007,CREC,Escherichia coli,Carbapenems,0.001,978,1,Europe and Central Asia,C023,10.8,14.8,8.16504502,70271000.0,22.51246337,197.6149913,67.974,21.4,709.4,0.111,0.113,1.345,116.0,52.0,53.63758214,25.5,92.94128557,3.91
2008,CREC,Escherichia coli,Carbapenems,2.22e-18,45,0,Europe and Central Asia,C023,10.9,14.7,8.558115798,70719000.0,22.32471268,198.9284758,68.092,19.9,833.4,0.15,0.144,0.836,122.8,48.0,53.63758214,25.6,92.51271414,3.79
2009,CREC,Escherichia coli,Carbapenems,2.22e-18,849,0,Europe and Central Asia,C023,11.0,14.7,8.965909493,71692000.0,21.69487924,199.8368885,68.209,19.6,854.6,0.147,0.204,0.804,128.8,43.0,53.63758214,25.7,92.51271414,3.69
2010,CREC,Escherichia coli,Carbapenems,0.001,2593,3,Europe and Central Asia,C023,10.6,14.3,8.929617332,73225000.0,21.54640754,200.4525156,68.327,18.8,906.5,0.2,0.293,0.104,141.2,39.0,53.63758214,24.7,92.51271414,3.64
2011,CREC,Escherichia coli,Carbapenems,0.002,1854,4,Europe and Central Asia,C023,10.8,14.9,8.776312534,75866000.0,22.98705967,200.797547,68.444,20.8,690.4,0.137,0.238,0.559,113.0,39.0,53.63758214,24.9,92.51271414,3.52
2012,CREC,Escherichia coli,Carbapenems,0.003,3021,9,Europe and Central Asia,C023,10.8,14.9,8.805047061,76293000.0,24.1231882,201.3395093,68.684,18.9,693.0,0.146,0.145,0.705,117.8,42.0,53.63758214,23.8,92.65557129,3.42
2013,CREC,Escherichia coli,Carbapenems,0.006,3989,24,Europe and Central Asia,C023,10.7,14.6,8.856115944,76762000.0,24.24148213,203.6871208,68.979,17.4,790.3,0.174,0.261,0.568,131.0,43.0,53.63758214,24.6,92.41516637,3.31
2014,CREC,Escherichia coli,Carbapenems,0.002,3696,7,Europe and Central Asia,C023,11.3,15.2,8.868862715,77694000.0,24.57506739,205.5645581,69.272,15.7,852.6,0.221,0.364,1.357,137.4,43.0,53.63758214,24.9,91.27230923,3.21
2015,CREC,Escherichia coli,Carbapenems,0.002,5592,11,Europe and Central Asia,C023,11.1,15.1,8.847417835,81068000.0,25.56458158,205.3665384,69.565,18.4,682.8,0.12,0.174,0.449,115.7,44.0,53.63758214,24.8,89.98659494,3.2
2016,CREC,Escherichia coli,Carbapenems,0.003,6106,18,Europe and Central Asia,C023,11.1,15.0,8.719857291,84925000.0,25.59896731,205.0179495,69.855,16.2,712.2,0.143,0.153,1.04,123.1,47.0,53.63758214,24.2,90.27230923,3.17
2017,CREC,Escherichia coli,Carbapenems,0.003,7280,22,Europe and Central Asia,C023,10.8,14.8,8.670186961,89931000.0,26.26462371,204.7109374,70.144,17.3,618.3,0.1,0.105,1.264,107.9,50.0,53.63758214,24.0,92.27230923,3.18
2018,CREC,Escherichia coli,Carbapenems,0.004,15452,62,Europe and Central Asia,C023,11.5,15.4,8.6729469,93228601.56,26.13889069,204.3222259,70.438,15.7,699.7,0.17,0.198,0.783,127.2,52.0,53.63758214,24.1,92.98659494,3.14
2019,CREC,Escherichia coli,Carbapenems,0.004,17086,68,Europe and Central Asia,C023,11.3,15.3,8.375004891,95399000.0,26.25528058,201.9805456,70.736,15.0,824.1,0.168,0.176,1.201,126.1,53.0,53.63758214,24.54736842,93.41516637,3.14
2020,CREC,Escherichia coli,Carbapenems,0.005,18001,90,Europe and Central Asia,C023,11.1,15.2,9.345350147,38419000.0,23.92312126,200.9991005,71.039,15.4,703.1,0.127,0.145,1.075,112.9,53.0,53.63758214,24.54736842,91.98659494,3.14
2021,CREC,Escherichia coli,Carbapenems,0.004,19905,80,Europe and Central Asia,C023,11.0,15.0,13.26562905,139123731.1,16.18737155,205.0126794,71.3482257,14.9,686.6,0.13,0.18,1.019,120.8,56.0,53.63758214,24.54736842,93.6867625,3.089054735
2022,CREC,Escherichia coli,Carbapenems,0.003,24042,72,Europe and Central Asia,C023,11.5,15.7,21.70483081,495252388.5,0.357359318,217.3344863,71.66467709,16.3,552.8,0.0953,0.0856,1.764,104.2,56.0,53.63758214,24.54736842,93.91375556,2.947164206
2006,CREC,Escherichia coli,Carbapenems,2.22e-18,160,0,Europe and Central Asia,C026,5.5,9.8,5.80964362,3635000.0,37.50570206,52.1682993,66.706,15.1,925.1,0.0256,0.0754,0.923,184.0,48.0,53.63758214,25.6,95.28571429,7.16
2007,CREC,Escherichia coli,Carbapenems,2.22e-18,218,0,Europe and Central Asia,C026,5.8,10.0,5.730552573,4251000.0,34.07881262,51.55223357,66.777,14.5,1065.7,0.0366,0.164,2.196,213.5,48.0,53.63758214,26.1,96.14285714,7.19
2008,CREC,Escherichia coli,Carbapenems,2.22e-18,284,0,Europe and Central Asia,C026,5.2,9.5,6.266373934,4459000.0,29.18085347,51.02881532,66.848,15.5,999.9,0.0299,0.189,2.221,209.3,46.0,53.63758214,25.8,96.57142857,7.18
2009,CREC,Escherichia coli,Carbapenems,2.22e-18,287,0,Europe and Central Asia,C026,5.3,9.6,7.317054125,4001000.0,28.0183734,50.46535301,66.842,16.2,963.6,0.0198,0.127,1.396,205.2,49.0,53.63758214,27.4,96.85714286,7.18
2010,CREC,Escherichia coli,Carbapenems,2.22e-18,238,0,Europe and Central Asia,C026,4.2,8.3,6.717716264,4073000.0,28.74267133,49.4181412,66.757,16.0,1010.5,0.0178,0.123,0.766,205.8,50.0,53.63758214,26.8,95.57142857,7.16
2012,CREC,Escherichia coli,Carbapenems,2.22e-18,450,0,Europe and Central Asia,C026,5.1,9.4,6.242779398,4979000.0,33.24589773,47.67165013,66.864,13.2,996.0,0.0331,0.133,1.37,216.3,54.0,53.63758214,27.7,93.71428571,7.45
2013,CREC,Escherichia coli,Carbapenems,2.22e-18,433,0,Europe and Central Asia,C026,4.9,8.9,6.096633078,5264000.0,34.26508269,47.19088951,66.986,14.5,948.9,0.032,0.197,0.967,208.6,57.0,53.63758214,27.7,93.57142857,7.31
2014,CREC,Escherichia coli,Carbapenems,2.22e-18,593,0,Europe and Central Asia,C026,6.4,10.7,6.169960642,5217000.0,33.29360733,46.80553871,67.108,12.1,928.6,0.0263,0.227,2.238,195.7,58.0,53.63758214,28.2,93.71428571,7.26
2015,CREC,Escherichia coli,Carbapenems,2.22e-18,579,0,Europe and Central Asia,C026,5.7,10.1,6.454108653,5048000.0,33.6193751,46.36727853,67.23,12.1,827.2,0.0177,0.172,2.095,188.1,61.0,53.63758214,27.8,93.71428571,6.97
2016,CREC,Escherichia coli,Carbapenems,2.22e-18,793,0,Europe and Central Asia,C026,5.4,9.7,6.590754285,5322000.0,34.00999432,45.78766642,67.366,11.2,984.4,0.0507,0.231,1.944,205.7,59.0,53.63758214,26.9,94.42857143,6.69
2017,CREC,Escherichia coli,Carbapenems,2.22e-18,849,0,Europe and Central Asia,C026,5.6,10.0,6.430798769,5590000.0,34.69214582,45.15258377,67.516,10.9,922.1,0.0258,0.102,1.542,208.3,59.0,53.63758214,25.0,94.14285714,6.56
2018,CREC,Escherichia coli,Carbapenems,2.22e-18,1100,0,Europe and Central Asia,C026,6.1,10.7,6.513279873,6115000.0,33.69522719,44.73164618,67.679,10.9,808.5,0.0254,0.217,2.427,166.9,59.0,53.63758214,24.8,92.71428571,6.43
2019,CREC,Escherichia coli,Carbapenems,0.002,1122,2,Europe and Central Asia,C026,5.9,10.4,6.750374158,6150000.0,34.55065433,44.6205206,67.855,9.0,915.2,0.026,0.0803,2.642,205.3,60.0,53.63758214,25.49710849,93.0,6.43
2020,CREC,Escherichia coli,Carbapenems,2.22e-18,1142,0,Europe and Central Asia,C026,6.3,10.9,7.297362125,2284000.0,30.76827865,44.63246567,68.046,8.3,840.1,0.04,0.239,3.445,185.6,60.0,53.63758214,25.8497488,91.57142857,6.43
2021,CREC,Escherichia coli,Carbapenems,0.003,1149,3,Europe and Central Asia,C026,5.1,9.4,8.335280966,9025445.843,15.19515786,44.56797803,68.25411739,9.1,1045.3,0.0657,0.176,1.792,209.6,61.0,53.63758214,26.02813594,96.93605442,6.280183278
2022,CREC,Escherichia coli,Carbapenems,0.002,1309,3,Europe and Central Asia,C026,6.3,11.0,10.01941118,31189337.53,18.65885662,44.24031631,68.48135218,9.2,810.2,0.0427,0.185,1.96,170.5,62.0,53.63758214,26.11837513,97.42065553,5.850549833
2001,CREC,Escherichia coli,Carbapenems,2.22e-18,172,0,Europe and Central Asia,C027,5.8,11.0,6.417414224,836000.0,15.94594684,171.5019849,84.843,27.9,481.4,0.198,0.212,1.433,106.4,87.0,53.63758214,16.3,92.51271414,6.099999905
2002,CREC,Escherichia coli,Carbapenems,2.22e-18,133,0,Europe and Central Asia,C027,6.1,11.1,6.793354342,885000.0,16.0321167,173.3081889,85.299,29.3,704.6,0.237,0.23,1.393,121.6,90.0,53.63758214,17.0,94.08414271,6.0
2003,CREC,Escherichia coli,Carbapenems,2.22e-18,164,0,Europe and Central Asia,C027,5.5,10.5,7.013581358,867000.0,16.12850644,175.4270799,85.743,29.2,626.9,0.277,0.354,1.692,119.7,87.0,53.63758214,17.9,94.08414271,6.0
2004,CREC,Escherichia coli,Carbapenems,2.22e-18,171,0,Europe and Central Asia,C027,5.6,10.6,7.329456607,878000.0,15.50617044,177.9382861,86.177,27.5,619.5,0.303,0.272,1.013,120.0,84.0,53.63758214,18.6,94.08414271,6.39
2005,CREC,Escherichia coli,Carbapenems,2.22e-18,166,0,Europe and Central Asia,C027,5.2,10.1,7.183946567,913000.0,15.85501726,180.681774,86.598,27.2,666.3,0.188,0.209,1.129,121.4,85.0,53.63758214,19.3,94.22699986,5.79
2007,CREC,Escherichia coli,Carbapenems,2.22e-18,56,0,Europe and Central Asia,C027,6.1,11.3,6.206461636,914000.0,14.64388793,186.4441475,87.409,28.7,691.5,0.338,0.388,1.94,113.7,84.0,53.63758214,20.2,92.94128557,5.67
2009,CREC,Escherichia coli,Carbapenems,2.22e-18,286,0,Europe and Central Asia,C027,6.2,11.2,7.010179155,847000.0,13.28567661,193.3543345,88.178,27.0,732.2,0.23,0.23,1.188,137.4,82.0,53.63758214,20.4,94.08414271,5.47
2010,CREC,Escherichia coli,Carbapenems,2.22e-18,340,0,Europe and Central Asia,C027,6.3,11.2,6.727831233,805000.0,14.06858434,196.9162465,88.547,26.4,734.6,0.232,0.25,0.325,135.5,85.0,53.63758214,20.5,93.94128557,5.37
2011,CREC,Escherichia coli,Carbapenems,2.22e-18,351,0,Europe and Central Asia,C027,5.3,10.6,6.027924583,874000.0,16.58465687,201.342029,88.906,29.2,439.6,0.229,0.205,1.343,99.7,85.0,53.63758214,24.1,94.08414271,5.28
2012,CREC,Escherichia coli,Carbapenems,2.22e-18,333,0,Europe and Central Asia,C027,6.0,11.4,5.355501447,950000.0,14.8391885,206.2358708,89.249,28.0,593.3,0.242,0.276,1.262,114.7,80.0,53.63758214,22.7,95.12945208,5.15
2013,CREC,Escherichia coli,Carbapenems,2.22e-18,295,0,Europe and Central Asia,C027,6.2,11.5,5.297196821,945000.0,14.67671048,211.0578529,89.574,27.7,542.8,0.202,0.177,0.569,118.3,80.0,53.63758214,22.3,95.12945208,5.17
2014,CREC,Escherichia coli,Carbapenems,0.003,368,1,Europe and Central Asia,C027,6.5,11.5,5.29358157,1038000.0,14.33975894,216.0915299,89.884,25.1,825.1,0.24,0.236,2.475,135.9,82.0,53.63758214,22.7,95.12945208,5.05
2015,CREC,Escherichia coli,Carbapenems,2.22e-18,347,0,Europe and Central Asia,C027,6.1,11.3,5.141121115,1090000.0,14.10965136,221.2518353,90.179,26.3,691.8,0.383,0.407,1.528,117.0,81.0,53.63758214,23.2,95.12945208,4.93
2016,CREC,Escherichia coli,Carbapenems,2.22e-18,418,0,Europe and Central Asia,C027,6.2,11.5,5.121770843,1054000.0,14.24373793,226.0722637,90.46,24.0,729.6,0.211,0.242,1.877,118.5,81.0,53.63758214,23.4,95.12945208,4.81
